"","lon","lat"
"586",-80.8543847,35.2632655
"587",-77.8824596,34.2154913
"588",-77.4242972,36.4159635
"589",-83.4643551,35.4328955
"590",-77.1485163,35.8733053
"591",-77.0564464,36.3761772
"592",-80.2321313,36.4244396
"593",-79.4253776,36.0117388
"594",-82.7778579,35.2190534
"595",-83.1220074,35.3265409
"596",-78.3842227,35.4403514
"597",-80.6770787,36.3743453
"598",-79.1548533,35.4693744
"599",-78.3842227,34.9197548
"600",-82.0842901,35.6984405
"601",-77.3324425,35.0306293
"602",-83.336188,35.1197519
"603",-80.2321313,35.3014554
"604",-81.2518833,36.202858
"605",-77.8824596,35.6925497
"606",-80.6770787,36.2023597
"607",-82.345189,35.888897
"608",-79.4703885,35.3674493
"609",-77.973865,35.9597948
"610",-79.0469134,35.9049122
"611",NA,NA
"612",-77.4701972,34.6540094
"613",-79.4703885,34.8451203
"614",-76.5950555,35.8120333
"615",-76.317414,36.2927068
"616",-77.8367282,34.5170729
"617",-76.4100267,36.1329763
"618",-78.9288242,36.3528221
"619",-77.4242972,35.5589221
"620",-82.1713632,35.2686842
"621",-79.8296743,35.7449531
"622",-79.7848422,35.003045
"623",-79.1096901,34.6383858
"624",-79.8296743,36.4335041
"625",-80.543845,35.6303455
"626",-79.1096901,36.0263022
"627",-76.6874701,35.1337865
"628",-77.6994197,35.5013936
"629",-79.8296743,36.0899873
"630",-81.2078164,35.8974199
"631",-81.1196075,36.4940839
"632",-80.1875065,34.9054732
"633",-81.4718387,36.4339674
"634",-81.909826,36.1198414
"635",-76.9182097,35.4613504
"636",-76.964306,36.0245185
"637",-78.5660852,34.5882404
"638",-78.2020387,34.0275398
"639",-81.909826,35.4258737
"640",-78.6114999,36.2799451
"641",-80.5882803,35.4168123
"642",-81.5596427,35.9227448
"643",-82.6915429,35.8237518
"644",-76.5488232,34.9019263
"645",-79.2902133,36.3860217
"646",-81.2518833,35.6840748
"647",-79.17807,35.7211289
"648",-84.059029,35.1134803
"649",-76.6181655,36.1354131
"650",-83.7199136,35.0964003
"651",-81.6035062,35.361354
"652",-78.7476208,34.2548658
"653",-77.0564464,35.0877672
"654",-78.7476208,34.9542604
"655",-75.946324,36.4189826
"656",-75.6208088,35.6549619
"657",-80.1875065,35.7748479
"658",-80.5882803,35.9367033
"659",-78.0195387,34.8840095
"660",-78.9031279,36.0221805
"661",-77.6536125,35.8840053
"662",-80.1875065,36.1200003
"663",-78.2426748,36.0741417
"664",-81.2078164,35.2895651
"665",-76.6874701,36.4202077
"666",-83.804868,35.3634623
"667",-81.2078164,35.4637028
"668",-78.5660852,35.8031909
"669",-78.0195387,36.4352131
"670",-77.6077865,36.2646764
"671",-78.8835548,35.3578648
"672",-82.9931607,35.624394
"673",-82.4319405,35.3725873
"674",-76.1783739,35.8925537
"675",-77.6077865,35.2326725
"676",-77.973865,35.3565499
