"","fip","link_fip","file"
"66","C1698","http://www.bls.gov/cew/data/api/2012/2/area/C1698.csv","downloads/_C1698_6_.csv"
"67","C1698","http://www.bls.gov/cew/data/api/2013/2/area/C1698.csv","downloads/_C1698_7_.csv"
"68","C1698","http://www.bls.gov/cew/data/api/2014/2/area/C1698.csv","downloads/_C1698_8_.csv"
"69","C1698","http://www.bls.gov/cew/data/api/2015/2/area/C1698.csv","downloads/_C1698_9_.csv"
"70","C1698","http://www.bls.gov/cew/data/api/2016/2/area/C1698.csv","downloads/_C1698_10_.csv"
"71","C1698","http://www.bls.gov/cew/data/api/2012/3/area/C1698.csv","downloads/_C1698_11_.csv"
"72","C1698","http://www.bls.gov/cew/data/api/2013/3/area/C1698.csv","downloads/_C1698_12_.csv"
"73","C1698","http://www.bls.gov/cew/data/api/2014/3/area/C1698.csv","downloads/_C1698_13_.csv"
"74","C1698","http://www.bls.gov/cew/data/api/2015/3/area/C1698.csv","downloads/_C1698_14_.csv"
"75","C1698","http://www.bls.gov/cew/data/api/2016/3/area/C1698.csv","downloads/_C1698_15_.csv"
"76","C1698","http://www.bls.gov/cew/data/api/2012/4/area/C1698.csv","downloads/_C1698_16_.csv"
"77","C1698","http://www.bls.gov/cew/data/api/2013/4/area/C1698.csv","downloads/_C1698_17_.csv"
"78","C1698","http://www.bls.gov/cew/data/api/2014/4/area/C1698.csv","downloads/_C1698_18_.csv"
"79","C1698","http://www.bls.gov/cew/data/api/2015/4/area/C1698.csv","downloads/_C1698_19_.csv"
"80","C1698","http://www.bls.gov/cew/data/api/2016/4/area/C1698.csv","downloads/_C1698_20_.csv"
"81","C1974","http://www.bls.gov/cew/data/api/2012/1/area/C1974.csv","downloads/_C1974_1_.csv"
"82","C1974","http://www.bls.gov/cew/data/api/2013/1/area/C1974.csv","downloads/_C1974_2_.csv"
"83","C1974","http://www.bls.gov/cew/data/api/2014/1/area/C1974.csv","downloads/_C1974_3_.csv"
"84","C1974","http://www.bls.gov/cew/data/api/2015/1/area/C1974.csv","downloads/_C1974_4_.csv"
"85","C1974","http://www.bls.gov/cew/data/api/2016/1/area/C1974.csv","downloads/_C1974_5_.csv"
"86","C1974","http://www.bls.gov/cew/data/api/2012/2/area/C1974.csv","downloads/_C1974_6_.csv"
"87","C1974","http://www.bls.gov/cew/data/api/2013/2/area/C1974.csv","downloads/_C1974_7_.csv"
"88","C1974","http://www.bls.gov/cew/data/api/2014/2/area/C1974.csv","downloads/_C1974_8_.csv"
"89","C1974","http://www.bls.gov/cew/data/api/2015/2/area/C1974.csv","downloads/_C1974_9_.csv"
"90","C1974","http://www.bls.gov/cew/data/api/2016/2/area/C1974.csv","downloads/_C1974_10_.csv"
"91","C1974","http://www.bls.gov/cew/data/api/2012/3/area/C1974.csv","downloads/_C1974_11_.csv"
"92","C1974","http://www.bls.gov/cew/data/api/2013/3/area/C1974.csv","downloads/_C1974_12_.csv"
"93","C1974","http://www.bls.gov/cew/data/api/2014/3/area/C1974.csv","downloads/_C1974_13_.csv"
"94","C1974","http://www.bls.gov/cew/data/api/2015/3/area/C1974.csv","downloads/_C1974_14_.csv"
"95","C1974","http://www.bls.gov/cew/data/api/2016/3/area/C1974.csv","downloads/_C1974_15_.csv"
"96","C1974","http://www.bls.gov/cew/data/api/2012/4/area/C1974.csv","downloads/_C1974_16_.csv"
"97","C1974","http://www.bls.gov/cew/data/api/2013/4/area/C1974.csv","downloads/_C1974_17_.csv"
